ID	LABEL	SubClass Of	ID	LABEL	SubClass Of
MOP:0000278	D-tyrosin-O(4)-ylation	tyrosin-O(4)-ylation			
MOP:0000279	D-threonin-O(3)-ylation	threonin-O(3)-ylation			
MOP:0000280	tyrosin-O(4)-ylation	formation of covalent bond with oxygen centre			
MOP:0000281	threonin-O(3)-ylation	formation of covalent bond with oxygen centre			
MOP:0000282	oxalylation	formation of covalent bond with carbon centre			
MOP:0000283	fumagillin-2-ylation	organylation			
MOP:0000284	acetoacetylation	formation of covalent bond with carbon centre			
MOP:0000285	alpha-linolenoylation	formation of covalent bond with carbon centre			
MOP:0000286	gamma-linolenoylation	formation of covalent bond with carbon centre			
MOP:0000287	carbamimidoylation	formation of covalent bond with carbon centre			
MOP:0000288	formimidoylation	formation of covalent bond with carbon centre			
MOP:0000289	trifluoroacetylation	formation of covalent bond with carbon centre			
MOP:0000290	carboxymethylation	formation of covalent bond with carbon centre			
MOP:0000291	methylenecarbonylation	formation of covalent bond with carbon centre			
MOP:0000292	N-hydroxyacetimidoylation	formation of covalent bond with carbon centre			
MOP:0000293	acryloylation	formation of covalent bond with carbon centre			
MOP:0000294	tert-butoxycarbonylation	formation of covalent bond with carbon centre			
MOP:0000295	sulfanediylation	formation of covalent bond with sulfur centre			
MOP:0000296	phenylsulfanylation	organoheterylation			
MOP:0000297	methylsulfanylation	organoheterylation			
MOP:0000298	sulfaniumylation	formation of covalent bond with sulfur centre			
MOP:0000299	disulfanidylation	formation of covalent bond with sulfur centre			
MOP:0000300	disulfanediylation	formation of covalent bond with sulfur centre			
MOP:0000301	disulfanylation	formation of covalent bond with sulfur centre			
MOP:0000302	tetrasulfanylation	formation of covalent bond with sulfur centre			
MOP:0000303	tetrasulfanediylation	formation of covalent bond with sulfur centre			
MOP:0000304	trisulfanylation	formation of covalent bond with sulfur centre			
MOP:0000305	trisulfanediylation	formation of covalent bond with sulfur centre			
MOP:0000306	pentasulfanylation	formation of covalent bond with sulfur centre			
MOP:0000307	diselanylation	formation of covalent bond with selenium centre			
MOP:0000308	tellanylation	formation of covalent bond with tellurium centre			
MOP:0000309	tellanediylation	formation of covalent bond with tellurium centre			
MOP:0000310	tellaniumylation	formation of covalent bond with tellurium centre			
MOP:0000311	ditellanylation	formation of covalent bond with tellurium centre			
MOP:0000312	amidylation	formation of covalent bond with nitrogen centre			
MOP:0000313	azanediylation	formation of covalent bond with nitrogen centre			
MOP:0000314	2-aminoethylation	formation of covalent bond with carbon centre			
MOP:0000315	4-aminobutylation	formation of covalent bond with carbon centre			
MOP:0000316	azanetriylation	formation of covalent bond with nitrogen centre			
MOP:0000317	hydrazine-1,2-diylation	formation of covalent bond with nitrogen centre			
MOP:0000318	diazyn-1-ium-1-ylation	formation of covalent bond with nitrogen centre			
MOP:0000319	phosphanetriylation	formation of covalent bond with phosphorus centre			
MOP:0000320	phosphanediylation	formation of covalent bond with phosphorus centre			
MOP:0000321	phosphanylation	formation of covalent bond with phosphorus centre			
MOP:0000322	lambda(5)-phosphanylation	formation of covalent bond with phosphorus centre			
MOP:0000323	phosphaniumylation	formation of covalent bond with phosphorus centre			
MOP:0000324	arsanylation	formation of covalent bond with arsenic centre			
MOP:0000325	arsanediylation	formation of covalent bond with arsenic centre			
MOP:0000326	arsanetriylation	formation of covalent bond with arsenic centre			
MOP:0000327	arsaniumylation	formation of covalent bond with arsenic centre			
